model,backend,device,prompt_tokens,output_tokens,prefill_s,decode_s,decode_toks_per_s,ttft_s,e2e_s,e2e_toks_per_s,chars,chars_per_s,note
allenai/Llama-3.1-Tulu-3-8B,hf,cuda,14.0,256.0,0.016853654058650136,3.9719670119229704,64.19992896077589,0.016872003907337785,3.9888391979038715,64.17907248167025,,,dtype=fp16
meta-llama/Llama-3.1-8B-Instruct,hf,cuda,14.0,256.0,0.01697668305132538,4.023878011037596,63.371702447372606,0.017001443076878786,4.040760729112662,63.35440704409557,,,dtype=fp16
google/gemma-1.1-2b-it,hf,cuda,14.0,256.0,0.007495202007703483,1.7325875039678067,147.17871358071284,0.007529821014031768,1.7407410349696875,147.06380492975387,,,dtype=fp16
google/gemma-7b,hf,cuda,14.0,256.0,0.016126108937896788,3.83993088605348,66.40744522932764,0.016162778018042445,3.8560677679488435,66.38887473084374,,,dtype=fp16
meta-llama/Llama-3.2-1B-Instruct,hf,cuda,14.0,256.0,0.0063308560056611896,1.4657273889752105,173.9750528768435,0.006347336922772229,1.4720515039516613,173.90695863071272,,,dtype=fp16
meta-llama/Llama-3.2-3B-Instruct,hf,cuda,14.0,256.0,0.011118773953057826,2.63932204793673,96.61572001012317,0.01114004198461771,2.6500605469336733,96.60156644202411,,,dtype=fp16
gpt-4o-mini-2024-07-18,openai,api,20.0,114.0,,,42.37653116204958,1.4018235439434648,4.049359272932634,27.658696710032146,673.0,166.1991329093896,stream include_usage; fixed empty choices
gpt-5-nano-2025-08-07,error,api,,,,,,,,,,,"openai request failed: Error code: 400 - {'error': {'message': ""Unsupported parameter: 'max_tokens' is not supported with this model. Use 'max_completion_tokens' instead."", 'type': 'invalid_request_error', 'param': 'max_tokens', 'code': 'unsupported_parameter'}}"
gpt-4.1-nano-2025-04-14,openai,api,20.0,90.0,,,132.43854140393958,0.4097824030322954,1.0886278310790658,82.31533805036301,512.0,470.3168386688196,stream include_usage; fixed empty choices
ministral-8b-2410,mistral,api,16.0,174.0,,,,,2.8922783359885216,60.160185081402396,838.0,289.7369833230759,api_model=ministral-8b-2410
mistral-7b-instruct-v0.2,mistral,api,16.0,184.0,,,,,5.947472124011256,30.937513646705707,912.0,153.34245894454133,api_model=open-mistral-7b
mistral-medium,mistral,api,16.0,183.0,,,,,2.8727878810605034,63.70118768826213,963.0,335.2144466874122,api_model=mistral-medium
mixtral-8x7b-instruct-v0.1,mistral,api,16.0,129.0,,,,,1.3411900600185618,96.1832359525649,664.0,495.0827028876208,api_model=open-mixtral-8x7b
