model,backend,device,prompt_id,prompt_name,prompt_hash,prompt_len_chars,prompt_weight,prompt_tokens,output_tokens,prefill_s,decode_s,decode_toks_per_s,ttft_s,e2e_s,e2e_toks_per_s,service_rate_rps,chars,chars_per_s,note
gpt-4.1-2025-04-14,openai,api,0,default,ae2896ddba,61,1.0,20,113,,,87.9662082184536,1.8359250030480325,3.1359942560084164,36.86416527878882,0.31887813508715696,642,204.71976272595475,stream include_usage
gpt-4.1-mini-2025-04-14,openai,api,0,default,ae2896ddba,61,1.0,20,108,,,46.50328618495364,1.2704415298067033,3.6275302013382316,30.033291301336043,0.2756696552467269,641,176.70424901315192,stream include_usage
gpt-4.1-nano-2025-04-14,openai,api,0,default,ae2896ddba,61,1.0,20,99,,,86.13157973172625,0.4164762943983078,1.5769011355005205,63.13778272507795,0.6341551651445747,600,380.49309908674485,stream include_usage
ministral-8b-2410,mistral,api,0,default,ae2896ddba,61,1.0,16,196,,,139.43201481551188,,1.4057029890827835,139.43201481551188,0.7113878306913871,972,691.4689714320283,api_model=ministral-8b-2410
mistral-7b-instruct-v0.2,mistral,api,0,default,ae2896ddba,61,1.0,16,188,,,67.63280296947646,,2.7797162286005914,67.63280296947646,0.3597489519653003,941,338.52376379934765,api_model=open-mistral-7b
mistral-medium,mistral,api,0,default,ae2896ddba,61,1.0,16,233,,,42.21627562545386,,5.519198379013687,42.21627562545386,0.18118573229808524,1163,210.71900666267314,api_model=mistral-medium
mixtral-8x7b-instruct-v0.1,mistral,api,0,default,ae2896ddba,61,1.0,16,154,,,86.81845299042172,,1.7738164491020143,86.81845299042172,0.5637561882494917,794,447.6224134700964,api_model=open-mixtral-8x7b
mistral-large-2512,mistral,api,0,default,ae2896ddba,61,1.0,16,181,,,43.68077279962477,,4.143699582200497,43.68077279962477,0.2413302364620153,944,227.81574322014242,api_model=mistral-large-2512
mistral-large-2411,mistral,api,0,default,ae2896ddba,61,1.0,16,117,,,34.94572555065074,,3.348048957530409,34.94572555065074,0.29868141496282685,634,189.36401708643223,api_model=mistral-large-2411
labs-mistral-small-creative,mistral,api,0,default,ae2896ddba,61,1.0,16,231,,,132.60368878023309,,1.742032986599952,132.60368878023309,0.5740419427715718,1164,668.1848213861097,api_model=labs-mistral-small-creative
mistral-medium-2505,mistral,api,0,default,ae2896ddba,61,1.0,16,126,,,27.1906763242036,,4.63394137378782,27.1906763242036,0.21579901844606034,714,154.0804991704871,api_model=mistral-medium-2505
mistral-small-2506,mistral,api,0,default,ae2896ddba,61,1.0,16,142,,,68.96794150464962,,2.058927624952048,68.96794150464962,0.48568972890598316,778,377.8666090888549,api_model=mistral-small-2506
magistral-medium-2509,mistral,api,0,default,ae2896ddba,61,1.0,16,256,,,25.935699870179988,,9.870564560871571,25.935699870179988,0.10131132761789058,2,0.20262265523578116,api_model=magistral-medium-2509
ministral-14b-2512,mistral,api,0,default,ae2896ddba,61,1.0,16,223,,,120.6429113963623,,1.848430193029344,120.6429113963623,0.5409996026742704,1131,611.8705506245998,api_model=ministral-14b-2512
ministral-3b-2512,mistral,api,0,default,ae2896ddba,61,1.0,16,190,,,153.90859985452494,,1.234498918056488,153.90859985452494,0.8100452623922366,987,799.5146739811374,api_model=ministral-3b-2512
magistral-small-2509,mistral,api,0,default,ae2896ddba,61,1.0,16,256,,,74.51019175365,,3.4357715900987387,74.51019175365,0.29105543653769533,1,0.29105543653769533,api_model=magistral-small-2509
